timestamp,sensor_name,x,y,z
2025-03-24T10:57:13.359951,LSM6DS3,0.55,0.18,0.43
2025-03-24T10:57:18.404360,LSM6DS3,0.61,0.31,0.31
2025-03-24T10:57:23.458279,LSM6DS3,0.55,0.18,0.37
2025-03-24T10:57:28.483501,LSM6DS3,0.55,0.18,0.37
2025-03-24T10:57:33.453845,LSM6DS3,0.67,0.31,0.37
2025-03-24T10:57:38.480765,LSM6DS3,0.67,0.49,0.18
2025-03-24T10:57:43.464637,LSM6DS3,-19.23,-0.18,9.28
2025-03-24T10:57:48.490397,LSM6DS3,0.61,0.24,0.37
2025-03-24T10:57:53.525969,LSM6DS3,0.55,0.18,0.37
2025-03-24T10:57:58.509820,LSM6DS3,0.49,0.31,0.31
2025-03-24T10:58:03.556990,LSM6DS3,0.61,0.0,0.43
2025-03-24T10:58:08.497796,LSM6DS3,0.31,-0.37,1.22
2025-03-24T10:58:13.475658,LSM6DS3,0.55,0.18,0.49
2025-03-24T10:58:18.498908,LSM6DS3,0.61,0.31,0.31
2025-03-24T10:58:23.509724,LSM6DS3,0.55,0.18,0.37
2025-03-24T10:58:28.550199,LSM6DS3,0.55,0.24,0.37
2025-03-24T10:58:33.593201,LSM6DS3,0.55,0.18,0.43
2025-03-24T10:58:38.585785,LSM6DS3,0.55,0.18,0.31
2025-03-24T10:58:43.839900,LSM6DS3,0.61,0.18,0.37
2025-03-24T10:58:48.642338,LSM6DS3,0.61,0.18,0.37
2025-03-24T10:58:53.633220,LSM6DS3,0.49,0.18,0.43
2025-03-24T10:58:58.599295,LSM6DS3,0.55,0.18,0.37
2025-03-24T10:59:03.613775,LSM6DS3,0.55,0.12,0.49
2025-03-24T10:59:08.619394,LSM6DS3,0.55,0.18,0.37
2025-03-24T10:59:13.679406,LSM6DS3,0.55,0.18,0.43
2025-03-24T10:59:18.678534,LSM6DS3,425.23,180.6,-127.26
2025-03-24T10:59:23.667354,LSM6DS3,40.28,-665.1,-301.7
2025-03-24T10:59:28.712667,LSM6DS3,-332.09,801.39,1150.21
2025-03-24T10:59:33.720067,LSM6DS3,149.66,468.32,639.16
2025-03-24T10:59:38.741460,LSM6DS3,-106.75,47.67,252.14
2025-03-24T10:59:43.749570,LSM6DS3,219.73,333.98,65.61
2025-03-24T10:59:48.778228,LSM6DS3,49.74,-17.64,13.06
2025-03-24T10:59:53.758002,LSM6DS3,5.37,-14.47,-8.18
2025-03-24T10:59:58.738239,LSM6DS3,-0.49,0.0,7.69
2025-03-24T11:00:03.762561,LSM6DS3,-72.14,-23.68,-11.54
2025-03-24T11:00:08.812864,LSM6DS3,36.32,75.13,1.59
2025-03-24T11:00:13.849038,LSM6DS3,-71.29,8.61,42.3
2025-03-24T11:00:18.817948,LSM6DS3,32.17,50.23,-14.4
2025-03-24T11:00:23.863094,LSM6DS3,-54.5,16.78,2.81
2025-03-24T11:00:28.899809,LSM6DS3,72.39,12.45,135.8
2025-03-24T11:00:33.824707,LSM6DS3,-11.35,-21.0,-11.84
2025-03-24T11:00:38.821188,LSM6DS3,3.42,9.22,5.07
2025-03-24T11:00:43.874849,LSM6DS3,3.48,0.92,-0.67
2025-03-24T11:00:48.858859,LSM6DS3,-1.28,-8.06,6.1
2025-03-24T11:00:53.903399,LSM6DS3,0.18,-0.67,-3.23
2025-03-24T11:00:58.899690,LSM6DS3,3.17,0.55,4.39
2025-03-24T11:01:03.888893,LSM6DS3,-0.43,0.43,-1.95
2025-03-24T11:01:08.885660,LSM6DS3,-0.31,-0.37,1.65
2025-03-24T11:01:13.918003,LSM6DS3,-0.31,0.31,0.37
2025-03-24T11:01:18.917751,LSM6DS3,0.0,0.37,-0.12
2025-03-24T11:01:23.948668,LSM6DS3,1.89,0.67,0.43
2025-03-24T11:01:28.954287,LSM6DS3,0.67,0.98,0.06
2025-03-24T11:01:33.962320,LSM6DS3,-8.97,-19.53,7.63
2025-03-24T11:01:38.977860,LSM6DS3,5.43,16.6,-15.08
2025-03-24T11:01:43.975814,LSM6DS3,5.98,1.16,7.69
2025-03-24T11:01:49.018579,LSM6DS3,-3.05,-0.67,-5.31
2025-03-24T11:01:53.978391,LSM6DS3,-14.04,-14.1,2.69
2025-03-24T11:01:59.026400,LSM6DS3,-2.69,-8.06,1.4
2025-03-24T11:02:04.023818,LSM6DS3,-0.49,0.06,0.43
2025-03-24T11:02:09.047382,LSM6DS3,1.28,-0.85,-1.1
2025-03-24T11:02:14.079993,LSM6DS3,-8.3,-7.14,9.77
2025-03-24T11:02:19.055739,LSM6DS3,0.98,2.99,0.55
2025-03-24T11:02:24.086803,LSM6DS3,0.55,1.04,1.46
2025-03-24T11:02:29.095577,LSM6DS3,-5.55,-2.01,1.59
2025-03-24T11:02:34.097139,LSM6DS3,0.67,1.04,0.0
2025-03-24T11:02:39.126412,LSM6DS3,0.85,3.11,-2.01
2025-03-24T11:02:44.146366,LSM6DS3,0.31,0.92,2.08
2025-03-24T11:02:49.157637,LSM6DS3,2.2,0.79,-1.77
2025-03-24T11:02:54.190294,LSM6DS3,3.17,2.08,-0.85
2025-03-24T11:02:59.184452,LSM6DS3,-3.3,-2.5,0.12
2025-03-24T11:03:04.190936,LSM6DS3,-2.99,-5.25,1.34
2025-03-24T11:03:09.240055,LSM6DS3,-4.52,-3.48,-1.46
2025-03-24T11:03:14.264195,LSM6DS3,0.18,0.49,1.46
2025-03-24T11:03:19.291998,LSM6DS3,4.46,1.89,0.85
2025-03-24T11:03:24.256388,LSM6DS3,1.71,0.06,1.65
2025-03-24T11:03:29.278436,LSM6DS3,-1.77,-0.37,0.31
2025-03-24T11:03:34.253671,LSM6DS3,1.22,-0.61,1.34
2025-03-24T11:03:39.269205,LSM6DS3,0.73,0.92,-0.37
2025-03-24T11:03:44.268389,LSM6DS3,-2.75,-2.38,0.49
2025-03-24T11:03:49.278653,LSM6DS3,-1.77,0.31,0.85
2025-03-24T11:03:54.288936,LSM6DS3,-2.56,0.0,0.92
2025-03-24T11:03:59.307942,LSM6DS3,-1.77,-0.85,-0.92
2025-03-24T11:04:04.330834,LSM6DS3,2.87,1.34,1.22
2025-03-24T11:04:09.338273,LSM6DS3,0.55,-0.61,-0.67
2025-03-24T11:04:14.330349,LSM6DS3,-1.95,-0.73,0.92
2025-03-24T11:04:19.389801,LSM6DS3,1.89,-15.26,1.28
2025-03-24T11:04:24.355102,LSM6DS3,0.67,1.4,-1.04
2025-03-24T11:04:29.380644,LSM6DS3,-339.11,-243.9,-3.66
2025-03-24T11:04:34.426016,LSM6DS3,0.43,0.24,0.37
2025-03-24T11:04:39.431245,LSM6DS3,0.55,1.34,0.06
2025-03-24T11:04:44.418029,LSM6DS3,0.67,0.24,0.37
2025-03-24T11:04:49.477732,LSM6DS3,-0.12,0.12,0.18
2025-03-24T11:04:54.496209,LSM6DS3,0.43,0.24,0.31
2025-03-24T11:04:59.453049,LSM6DS3,0.55,0.18,0.37
2025-03-24T11:05:04.525728,LSM6DS3,0.49,0.31,0.37
2025-03-24T11:05:09.476190,LSM6DS3,1.83,-0.12,0.85
2025-03-24T11:05:14.479331,LSM6DS3,0.49,-0.06,0.43
2025-03-24T11:05:19.485933,LSM6DS3,0.49,0.31,0.37
2025-03-24T11:05:24.496176,LSM6DS3,149.11,184.14,-18.13
2025-03-24T11:05:29.570211,LSM6DS3,-36.38,7.63,10.38
2025-03-24T11:05:34.534343,LSM6DS3,216.74,-12.27,28.87
2025-03-24T11:05:39.528313,LSM6DS3,4.64,0.98,8.48
2025-03-24T11:05:44.565732,LSM6DS3,-2.44,-1.46,0.73
2025-03-24T11:05:49.579220,LSM6DS3,1.28,-0.43,-0.12
2025-03-24T11:05:54.575661,LSM6DS3,0.43,0.18,0.43
2025-03-24T11:05:59.622321,LSM6DS3,0.61,0.24,0.37
2025-03-24T11:06:04.636859,LSM6DS3,0.43,0.24,0.49
2025-03-24T11:06:09.636817,LSM6DS3,0.61,-0.12,0.37
2025-03-24T11:06:14.660589,LSM6DS3,0.67,0.18,0.31
2025-03-24T11:06:19.631156,LSM6DS3,0.55,0.18,0.37
2025-03-24T11:06:24.705955,LSM6DS3,0.61,0.18,0.37
2025-03-24T11:06:29.706013,LSM6DS3,0.92,0.24,0.18
2025-03-24T11:06:34.732565,LSM6DS3,0.55,0.24,0.37
2025-03-24T11:06:39.677036,LSM6DS3,1.1,0.31,0.43
2025-03-24T11:06:44.775237,LSM6DS3,0.37,0.18,0.37
2025-03-24T11:06:49.713909,LSM6DS3,0.73,0.24,0.43
2025-03-24T11:06:54.730875,LSM6DS3,0.55,0.24,0.37
2025-03-24T11:06:59.735614,LSM6DS3,-42.24,-12.7,-53.34
2025-03-24T11:07:04.756790,LSM6DS3,0.55,0.18,0.43
2025-03-24T11:07:09.754978,LSM6DS3,0.67,0.18,0.31
2025-03-24T11:07:14.795387,LSM6DS3,0.49,0.18,0.37
2025-03-24T11:07:19.818584,LSM6DS3,0.55,0.24,0.37
2025-03-24T11:07:24.803839,LSM6DS3,0.67,0.18,0.31
2025-03-24T11:07:29.846004,LSM6DS3,0.37,0.24,0.31
2025-03-24T11:07:34.855163,LSM6DS3,1.1,0.31,0.49
2025-03-24T11:07:39.872474,LSM6DS3,0.43,0.24,0.37
2025-03-24T11:07:44.881389,LSM6DS3,0.55,0.24,0.43
2025-03-24T11:07:49.905992,LSM6DS3,0.55,0.18,0.31
2025-03-24T11:07:54.905791,LSM6DS3,-0.18,0.18,0.37
2025-03-24T11:07:59.944792,LSM6DS3,0.55,0.18,0.43
2025-03-24T11:08:04.887871,LSM6DS3,1.1,0.18,0.18
2025-03-24T11:08:09.901633,LSM6DS3,0.43,0.24,0.49
2025-03-24T11:08:14.928194,LSM6DS3,0.85,0.31,0.49
2025-03-24T11:08:19.916826,LSM6DS3,0.55,0.24,0.37
2025-03-24T11:08:24.934582,LSM6DS3,0.67,0.18,0.43
2025-03-24T11:08:29.936522,LSM6DS3,0.73,0.24,0.43
2025-03-24T11:08:34.971779,LSM6DS3,0.49,0.24,0.31
2025-03-24T11:08:39.999212,LSM6DS3,0.67,0.24,0.37
2025-03-24T11:08:44.973717,LSM6DS3,0.67,0.24,0.37
2025-03-24T11:08:50.003385,LSM6DS3,0.79,0.24,0.43
2025-03-24T11:08:55.004903,LSM6DS3,0.79,0.31,0.31
2025-03-24T11:09:00.035687,LSM6DS3,0.67,0.18,0.43
2025-03-24T11:09:05.036364,LSM6DS3,0.37,0.18,0.37
2025-03-24T11:09:10.038077,LSM6DS3,0.67,0.24,0.37
2025-03-24T11:09:15.053459,LSM6DS3,0.49,0.24,0.37
2025-03-24T11:09:20.123130,LSM6DS3,0.43,0.18,0.37
2025-03-24T11:09:25.124702,LSM6DS3,0.79,0.24,0.37
2025-03-24T11:09:30.072951,LSM6DS3,0.55,0.24,0.43
2025-03-24T11:09:35.083945,LSM6DS3,0.67,0.24,0.37
2025-03-24T11:09:40.093389,LSM6DS3,0.61,0.24,0.37
2025-03-24T11:09:45.105237,LSM6DS3,0.49,0.24,0.31
2025-03-24T11:09:50.115672,LSM6DS3,2.32,0.37,-0.06
2025-03-24T11:09:55.142635,LSM6DS3,0.49,0.24,0.37
2025-03-24T11:10:00.173076,LSM6DS3,0.73,0.24,0.43
2025-03-24T11:10:05.212804,LSM6DS3,0.67,0.24,0.43
2025-03-24T11:10:10.194553,LSM6DS3,0.55,0.18,0.37
2025-03-24T11:10:15.199732,LSM6DS3,0.37,0.18,0.37
2025-03-24T11:10:20.222185,LSM6DS3,1.1,0.31,0.37
2025-03-24T11:10:25.246881,LSM6DS3,0.49,0.18,0.37
2025-03-24T11:10:30.239184,LSM6DS3,0.61,0.24,0.43
2025-03-24T11:10:35.254093,LSM6DS3,0.49,0.24,0.37
2025-03-24T11:10:40.292439,LSM6DS3,0.55,0.24,0.37
2025-03-24T11:10:45.245656,LSM6DS3,0.43,0.18,0.37
2025-03-24T11:10:50.254923,LSM6DS3,0.43,0.18,0.37
2025-03-24T11:10:55.261077,LSM6DS3,0.06,0.12,0.43
2025-03-24T11:11:00.272027,LSM6DS3,0.61,0.18,0.31
2025-03-24T11:11:05.283858,LSM6DS3,0.92,0.12,0.18
2025-03-24T11:11:10.286918,LSM6DS3,0.55,0.18,0.37
2025-03-24T11:11:15.315012,LSM6DS3,0.55,0.24,0.37
2025-03-24T11:11:20.335094,LSM6DS3,0.67,0.18,0.37
2025-03-24T11:11:25.352475,LSM6DS3,0.61,0.24,0.43
2025-03-24T11:11:30.365330,LSM6DS3,0.49,0.18,0.37
2025-03-24T11:11:35.377926,LSM6DS3,0.49,0.18,0.37
2025-03-24T11:11:40.421699,LSM6DS3,0.49,0.18,0.67
2025-03-24T11:11:45.422150,LSM6DS3,1.1,0.24,0.24
2025-03-24T11:11:50.448254,LSM6DS3,0.67,0.18,0.31
2025-03-24T11:11:55.489618,LSM6DS3,0.49,0.24,0.37
2025-03-24T11:12:00.512876,LSM6DS3,0.61,0.18,0.43
2025-03-24T11:12:05.480403,LSM6DS3,0.49,0.24,0.37
2025-03-24T11:12:10.439547,LSM6DS3,0.43,0.24,0.37
2025-03-24T11:12:15.454000,LSM6DS3,0.67,0.24,0.37
2025-03-24T11:12:20.550779,LSM6DS3,0.73,0.18,0.37
2025-03-24T11:12:25.473081,LSM6DS3,0.24,0.24,0.18
2025-03-24T11:12:30.506133,LSM6DS3,0.49,0.24,0.43
2025-03-24T11:12:35.498319,LSM6DS3,0.49,0.18,0.43
2025-03-24T11:12:40.521879,LSM6DS3,-0.12,0.18,0.24
2025-03-24T11:12:45.547018,LSM6DS3,0.43,0.24,0.37
2025-03-24T11:12:50.533096,LSM6DS3,0.43,0.24,0.37
2025-03-24T11:12:55.584687,LSM6DS3,0.67,0.24,0.37
2025-03-24T11:13:00.589829,LSM6DS3,0.55,0.18,0.43
2025-03-24T11:13:05.595857,LSM6DS3,0.61,0.18,0.37
2025-03-24T11:13:10.626533,LSM6DS3,-0.18,0.06,0.12
2025-03-24T11:13:15.655710,LSM6DS3,0.73,0.24,0.37
2025-03-24T11:13:20.672030,LSM6DS3,0.43,0.18,0.37
2025-03-24T11:13:25.681576,LSM6DS3,0.67,0.24,0.43
2025-03-24T11:13:30.692597,LSM6DS3,0.31,0.24,0.31
2025-03-24T11:13:35.642697,LSM6DS3,0.92,0.24,0.55
2025-03-24T11:13:40.745392,LSM6DS3,0.37,0.12,0.49
2025-03-24T11:13:45.664577,LSM6DS3,0.43,0.18,0.37
2025-03-24T11:13:50.916747,LSM6DS3,0.67,0.18,0.37
2025-03-24T11:13:55.692743,LSM6DS3,-0.06,0.37,0.37
2025-03-24T11:14:00.713751,LSM6DS3,0.79,0.24,0.37
2025-03-24T11:14:05.713672,LSM6DS3,0.49,0.18,0.37
2025-03-24T11:14:10.770347,LSM6DS3,0.55,0.18,0.37
2025-03-24T11:14:15.759661,LSM6DS3,0.67,0.24,0.37
2025-03-24T11:14:20.782379,LSM6DS3,-1.77,-0.06,-0.49
2025-03-24T11:14:25.793578,LSM6DS3,0.61,0.18,0.37
2025-03-24T11:14:30.917423,LSM6DS3,0.61,0.24,0.37
2025-03-24T11:14:35.851687,LSM6DS3,0.73,0.24,0.43
2025-03-24T11:14:40.874577,LSM6DS3,0.43,0.24,0.37
2025-03-24T11:14:45.871974,LSM6DS3,0.61,0.24,0.37
2025-03-24T11:14:50.895620,LSM6DS3,1.04,0.18,0.18
2025-03-24T11:14:55.917316,LSM6DS3,0.61,0.24,0.43
2025-03-24T11:15:00.844020,LSM6DS3,-0.06,0.18,0.37
2025-03-24T11:15:05.880096,LSM6DS3,8.79,0.37,2.99
2025-03-24T11:15:10.870152,LSM6DS3,0.61,0.18,0.49
2025-03-24T11:15:15.918473,LSM6DS3,0.73,0.18,0.43
2025-03-24T11:15:20.886571,LSM6DS3,0.24,0.12,0.37
2025-03-24T11:15:25.903202,LSM6DS3,0.73,0.18,0.37
2025-03-24T11:15:30.920514,LSM6DS3,-0.73,0.18,0.06
2025-03-24T11:15:35.940854,LSM6DS3,0.37,0.31,0.55
2025-03-24T11:15:40.956239,LSM6DS3,0.67,0.18,0.31
2025-03-24T11:15:46.000920,LSM6DS3,0.24,0.24,0.37
2025-03-24T11:15:50.995023,LSM6DS3,0.67,0.18,0.49
2025-03-24T11:15:56.037047,LSM6DS3,0.98,0.24,0.43
2025-03-24T11:16:01.320417,LSM6DS3,-6.04,-2.44,-0.18
2025-03-24T11:16:06.064442,LSM6DS3,0.37,0.18,0.37
2025-03-24T11:16:11.057943,LSM6DS3,0.61,0.18,0.31
2025-03-24T11:16:16.075377,LSM6DS3,0.55,0.18,0.43
2025-03-24T11:16:21.125485,LSM6DS3,0.12,0.37,0.24
